name,code
Ama (Papua New Guinea),amm
Amanab,amn
Amo,amo
Alamblak,amp
Amahai,amq
Amarakaeri,amr
Southern Amami-Oshima,ams
Amto,amt
Guerrero Amuzgo,amu
Ambelau,amv
Western Neo-Aramaic,amw
Anmatyerre,amx
Ami,amy
Atampaya,amz
Andaqui,ana
Andoa,anb
Ngas,anc
Ansus,and
Xârâcùù,ane
Animere,anf
Old English (ca. 450-1100),ang
Nend,anh
Andi,ani
Anor,anj
Goemai,ank
Anu-Hkongso Chin,anl
Anal,anm
Obolo,ann
Andoque,ano
Angika,anp
Jarawa (India),anq
Andh,anr
Anserma,ans
Antakarinya,ant
Antikarinya,ant
Anuak,anu
Denya,anv
Anaang,anw
Andra-Hus,anx
Anyin,any
Anem,anz
Angolar,aoa
Abom,aob
Pemon,aoc
Andarum,aod
Angal Enen,aoe
Bragat,aof
Angoram,aog
Anindilyakwa,aoi
Mufian,aoj
Arhö,aok
Alor,aol
Ömie,aom
Bumbita Arapesh,aon
Aore,aor
Taikat,aos
A'tong,aot
Atong (India),aot
A'ou,aou
Atorada,aox
Uab Meto,aoz
Sa'a,apb
North Levantine Arabic,apc
Sudanese Arabic,apd
Bukiyip,ape
Pahanan Agta,apf
Ampanang,apg
Athpariya,aph
Apiaká,api
Jicarilla Apache,apj
Kiowa Apache,apk
Lipan Apache,apl
Mescalero-Chiricahua Apache,apm
Apinayé,apn
Ambul,apo
Apma,app
A-Pucikwar,apq
Arop-Lokep,apr
Arop-Sissano,aps
Apatani,apt
Apurinã,apu
Alapmunte,apv
Western Apache,apw
Aputai,apx
Apalaí,apy
Safeyoka,apz
Archi,aqc
Ampari Dogon,aqd
Arigidi,aqg
Aninka,aqk
Atohwaim,aqm
Northern Alta,aqn
Atakapa,aqp
Arhâ,aqr
Angaité,aqt
Akuntsu,aqz
Arabic,ara
Standard Arabic,arb
Imperial Aramaic (700-300 BCE),arc
Official Aramaic (700-300 BCE),arc
Arabana,ard
Western Arrarnta,are
Aragonese,arg
Arhuaco,arh
Arikara,ari
Arapaso,arj
Arikapú,ark
Arabela,arl
Mapuche,arn
Mapudungun,arn
Araona,aro
Arapaho,arp
Algerian Arabic,arq
Karo (Brazil),arr
Najdi Arabic,ars
Arawá,aru
Aruá (Amazonas State),aru
Arbore,arv
Arawak,arw
Aruá (Rodonia State),arx
Moroccan Arabic,ary
Egyptian Arabic,arz
Asu (Tanzania),asa
Assiniboine,asb
Casuarina Coast Asmat,asc
American Sign Language,ase
Auslan,asf
Australian Sign Language,asf
Cishingini,asg
Abishira,ash
Buruwai,asi
Sari,asj
Ashkun,ask
Asilulu,asl
Assamese,asm
Xingú Asuriní,asn
Dano,aso
Algerian Sign Language,asp
Austrian Sign Language,asq
Asuri,asr
Ipulo,ass
Asturian,ast
Asturleonese,ast
Bable,ast
Leonese,ast
Tocantins Asurini,asu
Asoa,asv
Australian Aborigines Sign Language,asw
Muratayak,asx
Yaosakor Asmat,asy
As,asz
Pele-Ata,ata
Zaiwa,atb
Atsahuaca,atc
Ata Manobo,atd
Atemble,ate
Ivbie North-Okpela-Arhe,atg
Attié,ati
Atikamekw,atj
Ati,atk
Mt. Iraya Agta,atl
Ata,atm
Ashtiani,atn
Atong (Cameroon),ato
Pudtol Atta,atp
Aralle-Tabulahan,atq
Waimiri-Atroari,atr
Gros Ventre,ats
Pamplona Atta,att
Reel,atu
Northern Altai,atv
Atsugewi,atw
Arutani,atx
Aneityum,aty
Arta,atz
Asumboa,aua
Alugu,aub
Waorani,auc
Anuta,aud
Aguna,aug
Aushi,auh
Anuki,aui
Awjilah,auj
Heyo,auk
Aulua,aul
Asu (Nigeria),aum
Molmo One,aun
Auyokawa,auo
Makayam,aup
Anus,auq
Korur,auq
Aruek,aur
Austral,aut
Auye,auu
Awyi,auw
Aurá,aux
Awiyaana,auy
Uzbeki Arabic,auz
Avaric,ava
Avau,avb
Alviri-Vidari,avd
Avestan,ave
Avikam,avi
Kotava,avk
Eastern Egyptian Bedawi Arabic,avl
Angkamuthi,avm
Avatime,avn
Agavotaguerra,avo
Aushiri,avs
Au,avt
Avokaya,avu
Avá-Canoeiro,avv
Awadhi,awa
Awa (Papua New Guinea),awb
Cicipu,awc
Awetí,awe
Anguthimri,awg
Awbono,awh
Aekyom,awi
Awabakal,awk
Arawum,awm
Awngi,awn
Awak,awo
Awera,awr
South Awyu,aws
Araweté,awt
Central Awyu,awu
Jair Awyu,awv
Awun,aww
Awara,awx
Edera Awyu,awy
Abipon,axb
Ayerrerenge,axe
Mato Grosso Arára,axg
Yaka (Central African Republic),axk
Lower Southern Aranda,axl
Middle Armenian,axm
Xârâgurè,axx
Awar,aya
Ayizo Gbe,ayb
Southern Aymara,ayc
Ayabadhu,ayd
Ayere,aye
Ginyanga,ayg
Hadrami Arabic,ayh
Leyigha,ayi
Akuku,ayk
Libyan Arabic,ayl
Aymara,aym
Sanaani Arabic,ayn
Ayoreo,ayo
North Mesopotamian Arabic,ayp
Ayi (Papua New Guinea),ayq
Central Aymara,ayr
Sorsogon Ayta,ays
Magbukun Ayta,ayt
Ayu,ayu
Mai Brat,ayz
Azha,aza
South Azerbaijani,azb
Eastern Durango Nahuatl,azd
Azerbaijani,aze
San Pedro Amuzgos Amuzgo,azg
North Azerbaijani,azj
Ipalapa Amuzgo,azm
Western Durango Nahuatl,azn
Awing,azo
Faire Atta,azt
Highland Puebla Nahuatl,azz
Babatana,baa
Bainouk-Gunyuño,bab
Badui,bac
Baré,bae
Nubaca,baf
Tuki,bag
Bahamas Creole English,bah
Barakai,baj
Bashkir,bak
Baluchi,bal
Bambara,bam
Balinese,ban
Waimaha,bao
Bantawa,bap
Bavarian,bar
Basa (Cameroon),bas
Bada (Nigeria),bau
Vengo,bav
Bambili-Bambui,baw
Bamun,bax
Batuley,bay
Baatonum,bba
Barai,bbb
Batak Toba,bbc
Bau,bbd
Bangba,bbe
Baibai,bbf
Barama,bbg
Bugan,bbh
Barombi,bbi
Ghomálá',bbj
Babanki,bbk
Bats,bbl
Babango,bbm
Uneapa,bbn
Konabéré,bbo
Northern Bobo Madaré,bbo
West Central Banda,bbp
Bamali,bbq
Girawa,bbr
Bakpinka,bbs
Mburku,bbt
Kulung (Nigeria),bbu
Karnai,bbv
Baba,bbw
Bubia,bbx
Befang,bby
Central Bai,bca
Bainouk-Samik,bcb
Southern Balochi,bcc
North Babar,bcd
Bamenyam,bce
Bamu,bcf
Baga Pokur,bcg
Bariai,bch
Baoulé,bci
Bardi,bcj
Bunuba,bck
Central Bikol,bcl
Bannoni,bcm
Bali (Nigeria),bcn
Kaluli,bco
Bali (Democratic Republic of Congo),bcp
Bench,bcq
Babine,bcr
Kohumono,bcs
Bendi,bct
Awad Bing,bcu
Shoo-Minda-Nye,bcv
Bana,bcw
Bacama,bcy
Bainouk-Gunyaamolo,bcz
Bayot,bda
Basap,bdb
Emberá-Baudó,bdc
Bunama,bdd
Bade,bde
Biage,bdf
Bonggi,bdg
Baka (South Sudan),bdh
Burun,bdi
Bai,bdj
Bai (South Sudan),bdj
Budukh,bdk
Indonesian Bajau,bdl
Buduma,bdm
Baldemu,bdn
Morom,bdo
Bende,bdp
Bahnar,bdq
West Coast Bajau,bdr
Burunge,bds
Bokoto,bdt
Oroko,bdu
Bodo Parja,bdv
Baham,bdw
Budong-Budong,bdx
Bandjalang,bdy
Badeshi,bdz
Beaver,bea
Bebele,beb
Iceve-Maci,bec
Bedoanas,bed
Byangsi,bee
Benabena,bef
Belait,beg
Biali,beh
Bekati',bei
Bedawiyet,bej
Beja,bej
Bebeli,bek
Belarusian,bel
Bemba (Zambia),bem
Bengali,ben
Beami,beo
Besoa,bep
Beembe,beq
Besme,bes
Guiberoua Béte,bet
Blagar,beu
Daloa Bété,bev
Betawi,bew
Jur Modo,bex
Beli (Papua New Guinea),bey
Bena (Tanzania),bez
Bari,bfa
Pauri Bareli,bfb
Northern Bai,bfc
Panyi Bai,bfc
Bafut,bfd
Betaf,bfe
Tena,bfe
Bofi,bff
Busang Kayan,bfg
Blafe,bfh
British Sign Language,bfi
Bafanji,bfj
Ban Khor Sign Language,bfk
Banda-Ndélé,bfl
Mmen,bfm
Bunak,bfn
Malba Birifor,bfo
Beba,bfp
Badaga,bfq
Bazigar,bfr
Southern Bai,bfs
Balti,bft
Gahri,bfu
Bondo,bfw
Bantayanon,bfx
Bagheli,bfy
Mahasu Pahari,bfz
Gwamhi-Wuri,bga
Bobongko,bgb
Haryanvi,bgc
Rathwi Bareli,bgd
Bauria,bge
Bangandu,bgf
Bugun,bgg
Giangan,bgi
Bangolan,bgj
Bit,bgk
Buxinhua,bgk
Bo (Laos),bgl
Western Balochi,bgn
Baga Koga,bgo
Eastern Balochi,bgp
Bagri,bgq
Bawm Chin,bgr
Tagabawa,bgs
Bughotu,bgt
Mbongno,bgu
Warkay-Bipim,bgv
Bhatri,bgw
Balkan Gagauz Turkish,bgx
Benggoi,bgy
Banggai,bgz
Bharia,bha
Bhili,bhb
Biga,bhc
Bhadrawahi,bhd
Bhaya,bhe
Odiai,bhf
Binandere,bhg
Bukharic,bhh
Bhilali,bhi
Bahing,bhj
Bimin,bhl
Bathari,bhm
Bohtan Neo-Aramaic,bhn
Bhojpuri,bho
Bima,bhp
Tukang Besi South,bhq
Bara Malagasy,bhr
Buwal,bhs
Bhattiyali,bht
Bhunjia,bhu
Bahau,bhv
Biak,bhw
Bhalay,bhx
Bhele,bhy
Bada (Indonesia),bhz
Badimaya,bia
Bisa,bib
Bissa,bib
Bidiyo,bid
Bepour,bie
Biafada,bif
Biangai,big
Bikol,bik
Bile,bil
Bimoba,bim
Bini,bin
Edo,bin
Nai,bio
Bila,bip
Bipi,biq
Bisorio,bir
Bislama,bis
Berinomo,bit
Biete,biu
Southern Birifor,biv
Kol (Cameroon),biw
Bijori,bix
Birhor,biy
Baloi,biz
Budza,bja
Banggarla,bjb
Bariji,bjc
Biao-Jiao Mien,bje
Barzani Jewish Neo-Aramaic,bjf
Bidyogo,bjg
Bahinemo,bjh
Burji,bji
Kanauji,bjj
Barok,bjk
Bulu (Papua New Guinea),bjl
Bajelani,bjm
Banjar,bjn
Mid-Southern Banda,bjo
Fanamaket,bjp
Binumarien,bjr
Bajan,bjs
Balanta-Ganja,bjt
Busuu,bju
Bedjond,bjv
Bakwé,bjw
Banao Itneg,bjx
Bayali,bjy
Baruga,bjz
Kyak,bka
Baka (Cameroon),bkc
Binukid,bkd
Talaandig,bkd
Beeke,bkf
Buraka,bkg
Bakoko,bkh
Baki,bki
Pande,bkj
Brokskat,bkk
Berik,bkl
Kom (Cameroon),bkm
Bukitan,bkn
Kwa',bko
Boko (Democratic Republic of Congo),bkp
Bakairí,bkq
Bakumpai,bkr
Northern Sorsoganon,bks
Boloki,bkt
Buhid,bku
Bekwarra,bkv
Bekwel,bkw
Baikeno,bkx
Bokyi,bky
Bungku,bkz
Siksika,bla
Bilua,blb
Bella Coola,blc
Bolango,bld
Balanta-Kentohe,ble
Buol,blf
Kuwaa,blh
Bolia,bli
Bolongan,blj
Pa'O,blk
Pa'o Karen,blk
Biloxi,bll
Beli (South Sudan),blm
Southern Catanduanes Bikol,bln
Anii,blo
Blablanga,blp
Baluan-Pam,blq
Blang,blr
Balaesang,bls
Tai Dam,blt
Bolo,blv
Kibala,blv
Balangao,blw
Mag-Indi Ayta,blx
Notre,bly
Balantak,blz
Lame,bma
Bembe,bmb
Biem,bmc
Baga Manduri,bmd
Limassa,bme
Bom-Kim,bmf
Bamwe,bmg
Kein,bmh
Bagirmi,bmi
Bote-Majhi,bmj
Ghayavi,bmk
Bomboli,bml
Northern Betsimisaraka Malagasy,bmm
Bina (Papua New Guinea),bmn
Bambalang,bmo
Bulgebi,bmp
Bomu,bmq
Muinane,bmr
Bilma Kanuri,bms
Biao Mon,bmt
Somba-Siawari,bmu
Bum,bmv
Bomwali,bmw
Baimak,bmx
Baramu,bmz
Bonerate,bna
Bookan,bnb
Bontok,bnc
Banda (Indonesia),bnd
Bintauna,bne
Masiwang,bnf
Benga,bng
Bangi,bni
Eastern Tawbuid,bnj
Bierebo,bnk
Boon,bnl
Batanga,bnm
Bunun,bnn
Bantoanon,bno
Bola,bnp
Bantik,bnq
Butmas-Tur,bnr
Bundeli,bns
Bentong,bnu
Beneraf,bnv
Bonerif,bnv
Edwas,bnv
Bisis,bnw
Bangubangu,bnx
Bintulu,bny
Beezen,bnz
Bora,boa
Aweer,bob
Tibetan,bod
Mundabli,boe
Bolon,bof
Bamako Sign Language,bog
Boma,boh
Barbareño,boi
Anjam,boj
Bonjo,bok
Bole,bol
Berom,bom
Bine,bon
Tiemacèwè Bozo,boo
Bonkiman,bop
Bogaya,boq
Borôro,bor
Bosnian,bos
Bongo,bot
Bondei,bou
Tuwuli,bov
Rema,bow
Buamu,box
Bodo (Central African Republic),boy
Tiéyaxo Bozo,boz
Daakaka,bpa
Banda-Banda,bpd
Bauni,bpe
Bonggo,bpg
Botlikh,bph
Bagupi,bpi
Binji,bpj
'Ôrôê,bpk
Orowe,bpk
Broome Pearling Lugger Pidgin,bpl
Biyom,bpm
Dzao Min,bpn
Anasi,bpo
Kaure,bpp
Banda Malay,bpq
Koronadal Blaan,bpr
Sarangani Blaan,bps
Barrow Point,bpt
Bongu,bpu
Bian Marind,bpv
Bo (Papua New Guinea),bpw
Palya Bareli,bpx
Bishnupriya,bpy
Bilba,bpz
Tchumbuli,bqa
Bagusa,bqb
Boko (Benin),bqc
Boo,bqc
Bung,bqd
Baga Kaloum,bqf
Bago-Kusuntu,bqg
Baima,bqh
Bakhtiari,bqi
Bandial,bqj
Banda-Mbrès,bqk
Bilakura,bql
Wumboko,bqm
Bulgarian Sign Language,bqn
Balo,bqo
Busa,bqp
Biritai,bqq
Burusu,bqr
Bosngun,bqs
Bamukumbit,bqt
Boguru,bqu
Begbere-Ejar,bqv
Koro Wachi,bqv
Buru (Nigeria),bqw
Baangi,bqx
Bengkala Sign Language,bqy
Bakaka,bqz
Braj,bra
Lave,brb
Berbice Creole Dutch,brc
Baraamu,brd
Breton,bre
Bira,brf
Baure,brg
Brahui,brh
Mokpwe,bri
Bieria,brj
Birked,brk
Birwa,brl
Barambu,brm
Boruca,brn
Brokkat,bro
Barapasi,brp
Breri,brq
Birao,brr
Baras,brs
Bitare,brt
Eastern Bru,bru
Western Bru,brv
Bellari,brw
Bodo (India),brx
Burui,bry
Bilbil,brz
Abinomn,bsa
Brunei Bisaya,bsb
Bassari,bsc
Oniyan,bsc
Wushi,bse
Bauchi,bsf
Bashkardi,bsg
Kati,bsh
Bassossi,bsi
Bangwinji,bsj
Burushaski,bsk
Basa-Gumna,bsl
Busami,bsm
Barasana-Eduria,bsn
Buso,bso
Baga Sitemu,bsp
Bassa,bsq
Bassa-Kontagora,bsr
Akoose,bss
Basketo,bst
Bahonsuai,bsu
Baga Sobané,bsv
Baiso,bsw
Yangkam,bsx
Sabah Bisaya,bsy
Bata,bta
Bati (Cameroon),btc
Batak Dairi,btd
Gamo-Ningi,bte
Birgit,btf
Gagnoa Bété,btg
Biatah Bidayuh,bth
Burate,bti
Bacanese Malay,btj
Batak Mandailing,btm
Ratagnon,btn
Rinconada Bikol,bto
Budibud,btp
Batek,btq
Baetora,btr
Batak Simalungun,bts
Bete-Bendi,btt
Batu,btu
Bateri,btv
Butuanon,btw
Batak Karo,btx
Bobot,bty
Batak Alas-Kluet,btz
Buriat,bua
Bua,bub
Bushi,buc
Ntcham,bud
Beothuk,bue
Bushoong,buf
Buginese,bug
Younuo Bunu,buh
Bongili,bui
Basa-Gurmana,buj
Bugawac,buk
Bulgarian,bul
Bulu (Cameroon),bum
Sherbro,bun
Terei,buo
Busoa,bup
Brem,buq
Bokobaru,bus
Bungain,but
Budu,buu
Bun,buv
Bubi,buw
Boghom,bux
Bullom So,buy
Bukwen,buz
Barein,bva
Bube,bvb
Baelelea,bvc
Baeggu,bvd
Berau Malay,bve
Boor,bvf
Bonkeng,bvg
Bure,bvh
Belanda Viri,bvi
Baan,bvj
Bukat,bvk
Bolivian Sign Language,bvl
Bamunka,bvm
Buna,bvn
Bolgo,bvo
Bumang,bvp
Birri,bvq
Burarra,bvr
Bati (Indonesia),bvt
Bukit Malay,bvu
Baniva,bvv
Boga,bvw
Dibole,bvx
Baybayanon,bvy
Bauzi,bvz
Bwatoo,bwa
Namosi-Naitasiri-Serua,bwb
Bwile,bwc
Bwaidoka,bwd
Bwe Karen,bwe
Boselewa,bwf
Barwe,bwg
Bishuo,bwh
Baniwa,bwi
Láá Láá Bwamu,bwj
Bauwaki,bwk
Bwela,bwl
Biwat,bwm
Wunai Bunu,bwn
Borna (Ethiopia),bwo
Boro (Ethiopia),bwo
Mandobo Bawah,bwp
Southern Bobo Madaré,bwq
Bura-Pabir,bwr
Bomboma,bws
Bafaw-Balong,bwt
Buli (Ghana),bwu
Bwa,bww
Bu-Nao Bunu,bwx
Cwi Bwamu,bwy
Bwisi,bwz
Tairaha,bxa
Belanda Bor,bxb
Molengue,bxc
Pela,bxd
Birale,bxe
Bilur,bxf
Minigir,bxf
Bangala,bxg
Buhutu,bxh
Pirlatapa,bxi
Bayungu,bxj
Bukusu,bxk
Lubukusu,bxk
Jalkunan,bxl
Mongolia Buriat,bxm
Burduna,bxn
Barikanchi,bxo
Bebil,bxp
Beele,bxq
Russia Buriat,bxr
Busam,bxs
China Buriat,bxu
Berakou,bxv
Bankagooma,bxw
Binahari,bxz
Batak,bya
Bikya,byb
Ubaghara,byc
Benyadu',byd
Pouye,bye
Bete,byf
Baygo,byg
Bhujel,byh
Buyu,byi
Bina (Nigeria),byj
Biao,byk
Bayono,byl
Bidjara,bym
Bilin,byn
Blin,byn
Biyo,byo
Bumaji,byp
Basay,byq
Baruya,byr
Yipma,byr
Burak,bys
Berti,byt
Medumba,byv
Belhariya,byw
Qaqet,byx
Banaro,byz
Bandi,bza
Andio,bzb
Southern Betsimisaraka Malagasy,bzc
Bribri,bzd
Jenaama Bozo,bze
Boikin,bzf
Babuza,bzg
Mapos Buang,bzh
Bisu,bzi
Belize Kriol English,bzj
Nicaragua Creole English,bzk
Boano (Sulawesi),bzl
Bolondo,bzm
Boano (Maluku),bzn
Bozaba,bzo
Kemberano,bzp
Buli (Indonesia),bzq
Biri,bzr
Brazilian Sign Language,bzs
Brithenig,bzt
Burmeso,bzu
Naami,bzv
Basa (Nigeria),bzw
Kɛlɛngaxo Bozo,bzx
Obanliku,bzy
Evant,bzz
Chortí,caa
Garifuna,cab
Chuj,cac
Caddo,cad
Laalaa,cae
Lehar,cae
Southern Carrier,caf
Nivaclé,cag
Cahuarano,cah
Chané,caj
Cakchiquel,cak
Kaqchikel,cak
Carolinian,cal
Cemuhî,cam
Chambri,can
Chácobo,cao
Chipaya,cap
Car Nicobarese,caq
Galibi Carib,car
Tsimané,cas
Catalan,cat
Valencian,cat
Cavineña,cav
Callawalla,caw
Chiquitano,cax
Cayuga,cay
Canichana,caz
Cabiyarí,cbb
Carapana,cbc
Carijona,cbd
Chimila,cbg
Chachi,cbi
Ede Cabe,cbj
Chavacano,cbk
Bualkhaw Chin,cbl
Nyahkur,cbn
Izora,cbo
Cuba,cbq
Tsucuba,cbq
Cashibo-Cacataibo,cbr
Cashinahua,cbs
Chayahuita,cbt
Candoshi-Shapra,cbu
Cacua,cbv
Kinabalian,cbw
Carabayo,cby
Chamicuro,ccc
Cafundo Creole,ccd
Chopi,cce
Samba Daka,ccg
Atsam,cch
Kasanga,ccj
Cutchi-Swahili,ccl
Malaccan Creole Malay,ccm
Comaltepec Chinantec,cco
Chakma,ccp
Cacaopera,ccr
Choni,cda
Chenchu,cde
Chiru,cdf
Chambeali,cdh
Chodri,cdi
Churahi,cdj
Chepang,cdm
Chaudangsi,cdn
Min Dong Chinese,cdo
Cinda-Regi-Tiyal,cdr
Chadian Sign Language,cds
Chadong,cdy
Koda,cdz
Lower Chehalis,cea
Cebuano,ceb
Chamacoco,ceg
Eastern Khumi Chin,cek
Cen,cen
Czech,ces
Centúúm,cet
Ekai Chin,cey
Dijim-Bwilim,cfa
Cara,cfd
Como Karim,cfg
Falam Chin,cfm
Changriwa,cga
Kagayanen,cgc
Chiga,cgg
Chocangacakha,cgk
Chamorro,cha
Chibcha,chb
Catawba,chc
Highland Oaxaca Chontal,chd
Chechen,che
Tabasco Chontal,chf
Chagatai,chg
Chinook,chh
Ojitlán Chinantec,chj
Chuukese,chk
Cahuilla,chl
Mari (Russia),chm
Chinook jargon,chn
Choctaw,cho
Chipewyan,chp
Dene Suline,chp
Quiotepec Chinantec,chq
Cherokee,chr
Cholón,cht
Church Slavic,chu
Church Slavonic,chu
Old Bulgarian,chu
Old Church Slavonic,chu
Old Slavonic,chu
Chuvash,chv
Chuwabu,chw
Chantyal,chx
Cheyenne,chy
Ozumacín Chinantec,chz
Cia-Cia,cia
Ci Gbe,cib
Chickasaw,cic
Chimariko,cid
Cineni,cie
Chinali,cih
Chitkuli Kinnauri,cik
Cimbrian,cim
Cinta Larga,cin
Chiapanec,cip
Haméa,cir
Méa,cir
Tiri,cir
Chippewa,ciw
Chaima,ciy
Western Cham,cja
Chru,cje
Upper Chehalis,cjh
Chamalal,cji
Chokwe,cjk
Eastern Cham,cjm
Chenapian,cjn
Ashéninka Pajonal,cjo
Cabécar,cjp
Shor,cjs
Chuave,cjv
Jinyu Chinese,cjy
Central Kurdish,ckb
Chak,ckh
Cibak,ckl
Chakavian,ckm
Kaang Chin,ckn
Anufo,cko
Kajakse,ckq
Kairak,ckr
Tayo,cks
Chukot,ckt
Koasati,cku
Kavalan,ckv
Caka,ckx
Cakfem-Mushere,cky
Cakchiquel-Quiché Mixed Language,ckz
Ron,cla
Chilcotin,clc
Chaldean Neo-Aramaic,cld
Lealao Chinantec,cle
Chilisso,clh
Chakali,cli
Laitu Chin,clj
Idu-Mishmi,clk
Chala,cll
Clallam,clm
Lowland Oaxaca Chontal,clo
Lautu Chin,clt
Caluyanun,clu
Chulym,clw
Eastern Highland Chatino,cly
Maa,cma
Cerma,cme
Classical Mongolian,cmg
Emberá-Chamí,cmi
Campalagian,cml
Michigamea,cmm
Mandarin Chinese,cmn
Central Mnong,cmo
Mro-Khimi Chin,cmr
Messapic,cms
Camtho,cmt
Changthang,cna
Chinbon Chin,cnb
Côông,cnc
Northern Qiang,cng
Haka Chin,cnh
Hakha Chin,cnh
Asháninka,cni
Khumi Chin,cnk
Lalana Chinantec,cnl
Con,cno
Northern Ping Chinese,cnp
Northern Pinghua,cnp
Montenegrin,cnr
Central Asmat,cns
Tepetotutla Chinantec,cnt
Chenoua,cnu
Ngawn Chin,cnw
Middle Cornish,cnx
Cocos Islands Malay,coa
Chicomuceltec,cob
Cocopa,coc
Cocama-Cocamilla,cod
Koreguaje,coe
Colorado,cof
Chong,cog
